token address,holder address,holder balance
0x831dF23f7278575BA0b136296a285600cD75d076,0x25Dc46F7C8D4E06b5Dec66d6e4Fb1Cd0a68a2178,9861156886071129
0x831dF23f7278575BA0b136296a285600cD75d076,0x5B1D92DA2BCf4656869F8DB067f312229B607EFd,739636948603970725
0x831dF23f7278575BA0b136296a285600cD75d076,0x61d20712851C797a5aCA1eA7Cb2134cDEbaa32EC,98607502850795855
0x831dF23f7278575BA0b136296a285600cD75d076,0x84e0ad8E8ff4AA9E866dDCf1aEcDf5754Cb4bA97,10415781030799471
0x831dF23f7278575BA0b136296a285600cD75d076,0x9A406bc8b390ff784b10edB0bA730f5f41f8d41D,98578552234348260
0x1565F539E96c4d440c38979dbc86Fd711C995DD6,0x3b870db67a45611CF4723d44487EAF398fAc51E3,100000000000000000000
0x1565F539E96c4d440c38979dbc86Fd711C995DD6,0x430E076e5292e0028a0A17A00a65c43e6ee7fb91,21281046315055623151880
0xbD6277E36686184A5343F83a4be5CeD0f8CD185A,0x3b870db67a45611CF4723d44487EAF398fAc51E3,100000000000000000000
0xbD6277E36686184A5343F83a4be5CeD0f8CD185A,0xF840C75142F81a12c5B82F9876edf5ffFa34c3D1,991992453239576599
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x0000000000000000000000000000000000000000,100000000000000000000
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0xcF1d4EAfB0447414cF1304AB1d6FF0Da92eD5a82,4938423963833609242302
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0xAC2D71aE8AC352177e9081Bc6dB7613D0afa5379,46571948852007870750
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x6f9BB7e454f5B3eb2310343f0E99269dC2BB8A1d,931336787859722417265
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0xc79C88386c95130bf7c20a184cb8281ed639faB4,1000000000000000000
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x9B48d367b1f3156360752f39598950D644Aa3534,371351359288208993
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x73240496CC872FcaEf58C4d3C448Dc933296015B,245705927451225471
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x7dfE299A7A68c00179E4df34320c3f883823e70E,108851676221671127
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0xD99f3Ce41e6c8346209000e31e80b9654d8Dddb5,5014729901208850
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x8344328614aAC28d098864e7eD5B4a3969BE7DBc,569633652014210087
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x2aA5f256B8ED4399D97965A650D81EAAb05a5Fbf,559556957730874348
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0xf7beB9CDCfA98d503EBe6a70f06BC961bCA7ffBc,327200435227922895
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x997aFbd66DBCdcA13db44FA686F8c81a094EF536,56938083689135246
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x1DBE4c8000311b1C1B97d849d64A0F2120315A99,553374769391305249
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0xa9e2Ba5ed177A59F36e67100c1319352587cE0Ce,494757420426599730
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x94a94e9284DEd9F9d418Fc8F82d1CfA2D3BBc7F2,606508727461829151
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0xf3BF97159C613C605fa7c349523124Aa897e0682,582368341902904746
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x5b2F6827C46b3bef64665192Ff96AfC8b2507526,35598706252192441
0xFBc322415CBC532b54749E31979a803009516b5D,0xBD1f7d88C76A86C60d41bDDD4819fAe404e7151E,1128346534
0xFBc322415CBC532b54749E31979a803009516b5D,0xA9F51db4725f0EAf9d530Bae8db0fd858D505547,1000098429
0xFBc322415CBC532b54749E31979a803009516b5D,0xAdAB4df3d8Fb2927F59487C2Fd90df17A3aE20cE,509950778
0xFBc322415CBC532b54749E31979a803009516b5D,0xfC754EBfa041B24464193ebaF3cb9821EB8c8425,1984058285
0xFBc322415CBC532b54749E31979a803009516b5D,0x7c015319Aeb7621114165488AA2369527dDb2402,3173005762
0xFBc322415CBC532b54749E31979a803009516b5D,0xeF8c41B482B0B3114218434FcEC8E97d3A67d91A,1009000000
0xFBc322415CBC532b54749E31979a803009516b5D,0xaE416E324029AcB10367349234c13EDf44b0ddFD,10417858
0xFBc322415CBC532b54749E31979a803009516b5D,0x826BbdD37Fdd52A4CA2Ac042780ec2CAA67bA4F7,20476551
0xFBc322415CBC532b54749E31979a803009516b5D,0x9F27FA395Cf42f284113E96DdA3645D42823Ab2e,247993110
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x4033a32A2bc1F8F46eEA7719A92b54BAcdDf9820,830336506322467391802
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x980e2BF8368B26E070D12438c3CE9ab8CAC60C65,17463770862305067234
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0xaE15903e8384EB91e351d98Dd1bad149B0ae85f0,494484584755281822700
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0xC68676bF9496E938d0B727f0209e5C27178cc2fe,789289025854777832285
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0xCd0D4CDb238Eec15Fcf4ff9d13d5a59051E507D7,4453818122398126088167
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x9Cc49F179e77B65d082Af66a081F7cf908c2913b,5088154786186657103524
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x5853eD4f26A3fceA565b3FBC698bb19cdF6DEB85,7375694233125395077
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x214013E8E5d8264B27E824077cE9fFF49Bc20E8E,857261827722213500
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0xc2AcB07800C1a0BaF95C6A8B0C085613653254c1,495253168691268858487
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0xB4d3C40421381F900d7BcF7B5CCbE1Cb06Ab9070,495429852767989017612
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0xDA3e05228bd37561fc0CDE3F3c90204A3A1bbfA1,495204124804715990487
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0xeBcF41FfFa0aac1DC1B1d4D7C92A7D88694c4486,445712223876418082127
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0xC9c32A8c745bB66094B8B27A74Be48E84FD1a8F3,495157318214297930329
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0xd46E61d448568D00483D4e82b822381EE62C5774,484905900567801882803
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x046f601CbcBfa162228897AC75C9B61dAF5cEe5F,103502352925036899450
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0xF7c672757d69316064C2575B6dfF01473877C741,98938766731876041672
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x5665785813011A5c37c10972f8d3D463441637C3,64308540812257940163
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x9817C3724906346e4c73521e310b1CA4A490C6b1,100752406976305202600
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0xc62817d4d11a848d33D3fE3e96BE76BFFD73dEA3,49464681211818941386
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0xadbb2bdB90624935168f72323bEe78b6250F0230,495698897958225167532
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x5a4AC9DF62415f073e984DB58Dfe21e14EB8903F,10941601162856384303412
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x2Aa3374e1457F71561687Db1082f83E253a0a3CA,987674627650049154
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x19F30Fd4463F64536f54c6F3ef733a8B8b7Df525,1975353271046522571
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x267aF00983d4010c0aF58D4cfBb229ad84F80b57,1975357679139244416
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0xd3F4E43085d3cDE666627030231C4E67BE2970a2,1975361893509250751
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x95b3916F37f8C7acA9189bF64379233b0B9e94a1,100727540588715786218
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0xC13fD05bf9Aea66d5f00b7aE36d4ed2605AD0803,9872628228667359869
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0xaE44e2e5ECF04124c928b55c7A6689CEC9e7D546,103689272473225497769
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0xAAEA3991F0d89A30E4aE8Db387FD5C8559221f6e,54302128116875690391
