token address,holder address,holder balance
0x1144e14E9B0AA9e181342c7e6E0a9BaDB4ceD295,0x8D0047AB4Ed6679F2EdA40cCC666333c1eB600FD,256714296616090663
0x1144e14E9B0AA9e181342c7e6E0a9BaDB4ceD295,0x6b8b7db4dEC863660793b6db1B392236dC738560,353806182329195112
0x1144e14E9B0AA9e181342c7e6E0a9BaDB4ceD295,0x5Efc5Ca399133B6c2c3eF3ED74B768952a4a4495,220520848554882382
0x1144e14E9B0AA9e181342c7e6E0a9BaDB4ceD295,0x3c1c08dE96b060AC96D828c51842957c1C486082,368441500249214678
0x1144e14E9B0AA9e181342c7e6E0a9BaDB4ceD295,0x8Bd9077864f785bF200779459D3477778fDA15f2,608213853908291961
0x1144e14E9B0AA9e181342c7e6E0a9BaDB4ceD295,0x86e5beb70050c94777C3C504c183fccAbDbA50a9,477807246713780269
0x1144e14E9B0AA9e181342c7e6E0a9BaDB4ceD295,0x415CbFac79ba73C7A6E80ADc4fCb10F61CcCC0CC,581827858949758639
0x1144e14E9B0AA9e181342c7e6E0a9BaDB4ceD295,0xB8fF5C6a2233f3A53CDd6a2f6a68aacD283DF4b3,616503213009413975
0x1144e14E9B0AA9e181342c7e6E0a9BaDB4ceD295,0xC3636509658Ec6BCBDEd04468a5f644bF0fF02F4,278226156643413911
0x1144e14E9B0AA9e181342c7e6E0a9BaDB4ceD295,0x0da536Ea1A514fEB5ACCb9a29BF7512D6C262b2E,320487970662712520
0x1144e14E9B0AA9e181342c7e6E0a9BaDB4ceD295,0xD529b243CAD463eE2b0fb7E3d539248DaFA8eA99,23698414296493315003
0x1144e14E9B0AA9e181342c7e6E0a9BaDB4ceD295,0xAB4e4F9C9C394D72dbAE834075fd4519D7290456,498817850611258975941
0x1144e14E9B0AA9e181342c7e6E0a9BaDB4ceD295,0x440CB773fD88d364b1eFe45c75FDfFAF10Cb497e,498854954017389508939
0x1144e14E9B0AA9e181342c7e6E0a9BaDB4ceD295,0x50544864a4fE04FcA8401937B849b48e1E53BCD8,1499730724188738790421
0x1144e14E9B0AA9e181342c7e6E0a9BaDB4ceD295,0x4Ae6a8A28c87b75e935a90D6128F2649C969c0D8,532251925208984516088
0x1144e14E9B0AA9e181342c7e6E0a9BaDB4ceD295,0xACC3D48B216EAFbE0F943167c3087E7f0C642D6e,6221057358124497962914
0x1144e14E9B0AA9e181342c7e6E0a9BaDB4ceD295,0x87704a8CecbbF36f3D2f785Ef953eD9aFFc82b65,3000000000000000000000
0x1144e14E9B0AA9e181342c7e6E0a9BaDB4ceD295,0x4CC9E6fABb800F083a2685501d1A30CdAbb4B2De,483769470213971840337
0x1144e14E9B0AA9e181342c7e6E0a9BaDB4ceD295,0x11FA934f6754076AEb7Cf0A72a1c2D2518aA4C77,483698198605021333118
0x1144e14E9B0AA9e181342c7e6E0a9BaDB4ceD295,0x886cf30e5f7C6f69Ef1Be1173a53a6DD04E76966,996252995949612523
0x1144e14E9B0AA9e181342c7e6E0a9BaDB4ceD295,0x05426FE88815453A5158C7C32F0a889Fb4c98580,3984481855668375880
0x1144e14E9B0AA9e181342c7e6E0a9BaDB4ceD295,0x37eD2B55890cD2320d835B573C0B10147ee455F7,3287256940842811988
0x1144e14E9B0AA9e181342c7e6E0a9BaDB4ceD295,0x9c1623275BEeb08C812b48A4C2De2E5F10B2B67b,4974460516130453555
0x1144e14E9B0AA9e181342c7e6E0a9BaDB4ceD295,0xfEDEe724D28939B49BC6dF018a583918E5d7f28A,2236465609000178995
0x1144e14E9B0AA9e181342c7e6E0a9BaDB4ceD295,0x504c584a69c580c2e8261D7d1c32Dd09E8dc58Af,1988039724854781381
0x1144e14E9B0AA9e181342c7e6E0a9BaDB4ceD295,0x26E700A88bf5aD329aB58fc5dAC9b4CA705A8573,1988042476058462616
0x1144e14E9B0AA9e181342c7e6E0a9BaDB4ceD295,0xb742f07Fa4b77e8591aE61e2A234592411a5469F,9880381751324892217770
0x1144e14E9B0AA9e181342c7e6E0a9BaDB4ceD295,0x5f222918741500fABf6EED0bb16841d028d6d350,10704274451998363122
0x1144e14E9B0AA9e181342c7e6E0a9BaDB4ceD295,0xF840C75142F81a12c5B82F9876edf5ffFa34c3D1,983742373321460835
0x1144e14E9B0AA9e181342c7e6E0a9BaDB4ceD295,0xB164488F184490bad331454e873fb174675F3E4F,50423550528466034284
0x1144e14E9B0AA9e181342c7e6E0a9BaDB4ceD295,0x78F1875d13f9c822634400246BA1527B3C3103e7,2981345776255541793
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0xad72e54E5CcfC0f00246343c5844E36265D46203,1346475199363737356939
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0xbE8aF0625CCA69fA6D018fAe9E87646380f9254F,1199450809273563652041
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x232F7A2025a785efD462427163aAae34F3194A1b,988558302877971559409
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x3C6E55424AFae4186F625310632D82F9C42A993b,1101790378897086373605
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x4FA4167b3C94A80416bBc768fB919BF3AcE9F8C2,49435018586356141729
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x418cD8546a7A6f8A27eC9D0E1783623d1a723143,146713293275901860474
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0xD3F1CEbE695d80831321E04159a403758cc0A1A5,659324
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x09c38641e7F6322f7Eb2F16A94993D7864A287aD,966313
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x5B93F7cC6Be95DB6417701Bc39C0e503451cfc98,58395045
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x9D465229d04F137f6EF34F84b7960AA2fDb76912,613263422329653709389
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x56b3caCf437e12F7A15aa45F0cb199fAaa6a67E9,888415691294494824988
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0xa3796E9A31f55724D96cc963c4e21EeE2cAE9c0C,831150461657515684805
