Owner,ilkId,seriesId,id
0xbC2051303CE1FFC2aC8239a172aAf60b368086bD,0x303000000000,0x303230350000,0x300eac7ff309b16b6b62d028
0x1662BbbDdA3fb169f10C495AE27596Af7f8fD3E1,0x303000000000,0x303230360000,0x286228bfb5c3347764bd1207
0x1662BbbDdA3fb169f10C495AE27596Af7f8fD3E1,0x303000000000,0x303130350000,0xf71f4b5b761a99dba588ccfe
0x1662BbbDdA3fb169f10C495AE27596Af7f8fD3E1,0x303100000000,0x303130350000,0x9d84d9af98bce3fe4172dd75
0x1Bd3Abb6ef058408734EA01cA81D325039cd7bcA,0x303000000000,0x303230350000,0x274a43fcd59f4fc3146521e6
0x5584cF54ADE7C81aB6d6Bc870C714F87FC0a7721,0x303200000000,0x303230360000,0xe8c1ff3bfb4b7b6321daf4a3
0xF627E5F4BAd95a956468d8BB6Ee20b119F992E96,0x303000000000,0x303230350000,0x9a265b0532211d3986d0c53d
0x9FA0a37f9d8f8B4cbbfDaf25C441167D19B2ED85,0x303200000000,0x303230350000,0xb8e67c63114ba33a8e0a5693
0x9FA0a37f9d8f8B4cbbfDaf25C441167D19B2ED85,0x303200000000,0x303230360000,0x5bd0bca4868865a6070108db
0xa5580D01b6d1862f966AA54bcCDc18954EfF4616,0x303200000000,0x303230350000,0x3a0b95143c75f26722363d91
0x76936C74b4E359bC43cA8c39e74A0A74dE5C9eB8,0x303200000000,0x303230350000,0x55a984e5750e1835c2a14382
0x3396DF846a1E16Fafb5825C41C0Ab5b65A04C853,0x303000000000,0x303230360000,0xe4612c1347cd8b636dfce593
0x17670c48559559c239b5561d7F4E9DF0ee63D533,0x303000000000,0x303230360000,0xa2842daacd54af27f3f3d014
0x99a0435D05173893cbf8dfBA3967897862fBA0Ca,0x303000000000,0x303230360000,0xb8a0204f5daad2628e83dcd8
0xC7Dd5979eaB960A9870554fF32E4D53af75e9A9C,0x303000000000,0x303230360000,0x8acf3fd2706793b6a38e6288
0x17Fe4ED21e35B5ad800179b0c20447cA3F5280Db,0x303200000000,0x303230350000,0x715b9929497ac9c9e39e1f6f
0xd62b6f9130831AD0742783695bAd534C6C64d013,0x303200000000,0x303230350000,0x6569f46e55dd1190d81d9d45
0x1CeAf3e17deCfc2B528D5371aEdc10465C449591,0x303000000000,0x303130350000,0x43be0283de3f4c238e28f861
0x01D791a4E2c1da88BdC1623f6BBA48abDD22eAe9,0x303000000000,0x303230350000,0xcd14511ed9a951bebfd254cd
0x01D791a4E2c1da88BdC1623f6BBA48abDD22eAe9,0x303000000000,0x303230360000,0xb51da65fc939d915ac123e69
0x01D791a4E2c1da88BdC1623f6BBA48abDD22eAe9,0x303200000000,0x303230350000,0xa4a2daf151d7009501ced68c
0x96FCa82BB2ce4c5A700a14581412366CC05dd6fA,0x303000000000,0x303230360000,0x39a4142666f0f44823dd1c38
0x519C4Ba8430008e74f45560B783846b4E8bf5850,0x303000000000,0x303130350000,0x5f07ef1a4987c624083058d5
0x519C4Ba8430008e74f45560B783846b4E8bf5850,0x303100000000,0x303130360000,0x0d24a62fa42029ec9f88f80b
0xbB79Bd38e1a8CC6726f1a02d4D0C29a1D4b0aA8A,0x303000000000,0x303230350000,0xc759da2938c1f18c6b3fd72a
0xd7C92712c4AD5E73F3fa3AE9D8A8EF29a46393AA,0x303000000000,0x303230350000,0x3d4a50f8092284befaa82205
0xaD71307408D5101b7F070Bc45e8170Fc8e6AF135,0x303000000000,0x303230350000,0x45b912e7ec0fd293ce7eacf8
0xd7C92712c4AD5E73F3fa3AE9D8A8EF29a46393AA,0x303000000000,0x303230350000,0x00d7594ec7a1b6477a7107ec
0x3217B33Fc257a3Cee8370d77F9d26E8fA599187a,0x303000000000,0x303230360000,0xedf7bcca9f588ce51d9af387
0x5Ee9b86f3d4C48bB5C72927e1e051466d5b0a41a,0x303200000000,0x303230360000,0x87ae91e7273bec65dd42acfe
0xEae9C2A2C803BEcbC81F3A485a7cdA9D03E33165,0x303000000000,0x303230360000,0xe50cb6a507b392bf6957ae7e
0xCf2b7c6Bc98bfE0D6138A25a3b6162B51F75e05d,0x303000000000,0x303230350000,0x69997d9929dd1dc0d34d236b
0x88935b82a42Da065776E689a324d0d106b785156,0x303000000000,0x303230350000,0xd0f3cab25e8a14af8b6f25a5
0x2999cb7dbb6Fe7A39F9b880eC71c7db1A3b906C8,0x303200000000,0x303230360000,0xf162f3fb3533eb332873857c
0x5F04B7b3BbcAb63F6FAa7E558D18Fc22cC4F6e49,0x303200000000,0x303230360000,0x12f70ca6e3f016228e5b3771
0x977Ce10664114B8a8DCF12f4cEDd914BF6563893,0x303000000000,0x303230360000,0xa3d95cbfab5af47cbbda2701
0x32791bbC7DDc9d0e6Bd914F3B7F73747132a3A5B,0x303100000000,0x303130360000,0xb81ecf8de3e0e2173edabbf0
0x01066f6F80Fd2717594959A6cF5B24C4e2a348f8,0x303000000000,0x303230350000,0x0d19c67ea323e82017423364
0x0b28517D8323734376aeC8357C72A9f5E635e269,0x303000000000,0x303230360000,0x40ab5df29ec6699db273349d
